objectid;id_medidor;fecha;energia_kw;potencia_k;hora
86650;4;3/10/2019;205213.00;44.56;2:30
86657;4;3/10/2019;205216.00;45.14;2:45
86663;4;3/10/2019;205218.00;44.70;3:00
86669;4;3/10/2019;205220.00;44.62;3:15
86676;4;3/10/2019;205224.00;44.88;3:30
86683;4;3/10/2019;205225.00;45.10;3:45
86696;4;3/10/2019;205227.00;44.86;4:00
86703;4;3/10/2019;205230.00;44.14;4:15
86709;4;3/10/2019;205232.00;44.46;4:30
86715;4;3/10/2019;205234.00;49.86;4:45
86721;4;3/10/2019;205236.00;44.54;5:00
86728;4;3/10/2019;205238.00;51.80;5:15
86735;4;3/10/2019;205241.00;49.80;5:30
86740;4;3/10/2019;205243.00;45.88;5:45
86746;4;3/10/2019;205246.00;65.34;6:00
86753;4;3/10/2019;205250.00;83.62;6:15
86759;4;3/10/2019;205255.00;121.18;6:30
86765;4;3/10/2019;205261.00;113.22;6:45
86772;4;3/10/2019;205267.00;119.42;7:00
86778;4;3/10/2019;205272.00;106.56;7:15
86791;4;3/10/2019;205278.00;104.14;7:30
86798;4;3/10/2019;205284.00;112.48;7:45
86804;4;3/10/2019;205290.00;112.44;8:00
86811;4;3/10/2019;205296.00;111.90;8:15
86817;4;3/10/2019;205301.00;104.48;8:30
86824;4;3/10/2019;205306.00;87.48;8:45
86831;4;3/10/2019;205310.00;96.14;9:00
86837;4;3/10/2019;205315.00;93.16;9:15
86843;4;3/10/2019;205320.00;100.00;9:30
86850;4;3/10/2019;205325.00;95.26;9:45
86856;4;3/10/2019;205331.00;101.00;10:00
86862;4;3/10/2019;205336.00;102.92;10:15
86869;4;3/10/2019;205341.00;116.68;10:30
86876;4;3/10/2019;205346.00;111.08;10:45
86889;4;3/10/2019;205352.00;116.74;11:00
86896;4;3/10/2019;205358.00;111.28;11:15
86902;4;3/10/2019;205364.00;110.04;11:30
86909;4;3/10/2019;205369.00;102.90;11:45
86915;4;3/10/2019;205375.00;115.50;12:00
86922;4;3/10/2019;205381.00;103.80;12:15
86929;4;3/10/2019;205386.00;100.60;12:30
86935;4;3/10/2019;205392.00;101.32;12:45
86941;4;3/10/2019;205397.00;163.36;13:00
86948;4;3/10/2019;205404.00;131.36;13:15
86954;4;3/10/2019;205410.00;131.70;13:30
